name,Add to List,Social,Format,Episodes,Episode Duration,Status,Season,Average Score,Mean Score,Popularity,Favorites,Studios,Producers,Source,Hashtag,Genres,Romaji,English,Native,Synonyms,Tags,External & Streaming links,Relations,Characters,Staff,Status Distribution,Score Distribution,Trailer,Recommendations
Otomege Sekai wa Mob ni Kibishii Sekai desu,"['Otomege Sekai wa Mob ni Kibishii Sekai desu', 'Office worker Leon is reincarnated into a particularly punishing dating sim video game, where women reign supreme and only beautiful men have a seat at the table. But Leon has a secret weapon: he remembers everything from his past life, which includes a complete playthrough of the very game in which he is now trapped. Watch Leon spark a revolution to change this new world in order to fulfill his ultimate desire…of living a quiet, easy life in the countryside!', '', '(Source: Seven Seas Entertainment)']","['#60 Highest Rated 2022', '#37 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['72%'],['72%'],['49760'],['1486'],['ENGI'],"['KADOKAWA', 'Sammy', 'Micro Magazine Sha', 'bilibili', 'AT-X', 'Micro House', 'Kadokawa Media House']",['Light Novel'],['#モブせか #mobseka'],"['Action', 'Fantasy', 'Mecha', 'Romance']",['Otomege Sekai wa Mob ni Kibishii Sekai desu'],['Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs'],['乙女ゲー世界はモブに厳しい世界です'],"['mobseka', 'ชีวิตตัวประกอบอย่างตูช่างอยู่ยาก เมื่ออยู่ในโลกเกมจีบหนุ่ม', 'Otome Game Sekai wa Mob ni Kibishii Sekai desu']","['Anti-Hero', '90%', 'Isekai', '88%', 'Male Protagonist', '86%', 'Robots', '77%', 'Ojou-sama', '75%', 'Primarily Teen Cast', '73%', 'School', '70%', 'Virtual World', '66%', 'Female Harem', '62%', 'Artificial Intelligence', '60%', 'Magic', '57%', 'Video Games', '55%', 'Parody', '54%', 'Bullying', '54%', 'Male Harem', '52%', 'Super Robot', '52%', 'Real Robot', '33%', 'Military', '30%', 'Reincarnation', '26%', 'Show 1 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', '', '']","['Source', 'Otomege Sekai wa Mob ni Kibishii Sekai desu', 'Light Novel · Releasing', 'Sequel', 'Otomege Sekai wa Mob ni Kibishii Sekai desu 2nd Season', 'TV · Not Yet Released', 'Alternative', 'Otomege Sekai wa Mob ni Kibishii Sekai desu', 'Manga · Releasing']","['Leon Fou Bartfort', 'Main', 'Takeo Ootsuka', 'Japanese', 'Olivia', 'Main', 'Kana Ichinose', 'Japanese', 'Angelica Rafua Redgrave', 'Main', 'Fairouz Ai', 'Japanese', 'Marie Fou Lafuan', 'Supporting', 'Ayane Sakura', 'Japanese', 'Luxion', 'Supporting', 'Akira Ishida', 'Japanese', 'Julius Rafa Holfort', 'Supporting', 'Kenichi Suzumura', 'Japanese']","['Yomu Mishima', 'Original Story', 'Monda', 'Original Character Design', 'Kazuya Miura', 'Director', 'Shinichi Fukumoto', 'Director']","['Completed', '29004 Users', 'Planning', '11760 Users', 'Current', '6328 Users', 'Dropped', '1931 Users']",[],,
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","['Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu', 'One day, a gamer played video games until he fell asleep…and when he woke up, he found himself in the game world–as a skeleton! Equipped with the powerful weapons and armor of his avatar but stuck with its frightening skeletal appearance, Arc has to find a place for himself in this new, fantastical land. All his hopes for a quiet life are dashed when he crosses paths with a beautiful elven warrior, setting him on a journey full of conflict and adventure.', '', '(Source: Seven Seas Entertainment)']","['#65 Highest Rated 2022', '#38 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['71%'],['71%'],['49670'],['1299'],"['Studio KAI', 'HORNETS']","['OVERLAP', 'Crunchyroll', 'MUSE', 'Docomo Anime Store', 'MAGNET', 'AT-X', 'Pony Canyon']",['Light Novel'],['#骸骨騎士様'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu']",['Skeleton Knight in Another World'],['骸骨騎士様、只今異世界へお出掛け中'],"['บันทึกการเดินทางต่างโลกของท่านอัศวินกระดูก', 'Kesatria Tengkorak Berkelana di Dunia Lain', 'Hiệp Sĩ Xương Trên Đường Du Hành Đến Thế Giới Khác']","['Skeleton', '95%', 'Isekai', '91%', 'Male Protagonist', '90%', 'Magic', '83%', 'Swordplay', '78%', 'Elf', '74%', 'Politics', '66%', 'CGI', '63%', 'Kemonomimi', '60%', 'Ninja', '60%', 'Conspiracy', '60%', 'Gore', '50%', 'Tsundere', '44%', 'Slapstick', '30%', 'Dragons', '28%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube', '', '']","['Source', 'Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu', 'Light Novel · Releasing', 'Alternative', 'Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu', 'Manga · Releasing']","['Arc', 'Main', 'Tomoaki Maeno', 'Japanese', 'Ponta', 'Main', 'Nene Hieda', 'Japanese', 'Ariane Glenys Maple', 'Main', 'Fairouz Ai', 'Japanese', 'Lauren Laraiya du Luvierte', 'Supporting', 'Rin Kusumi', 'Japanese', 'Chiyome', 'Supporting', 'Miyu Tomita', 'Japanese', 'Rita Farren', 'Supporting', 'Arisa Sakuraba', 'Japanese']","['Enki Hakari', 'Original Story', 'KeG', 'Original Character Design', 'Katsumi Ono', 'Director', 'Shigatsu Yoshikawa', 'Assistant Director']","['Completed', '28208 Users', 'Planning', '10847 Users', 'Current', '7391 Users', 'Dropped', '2280 Users']",[],,
Date A Live IV,"['Date A Live IV', 'The fourth season of Date A Live.', '', ""Despite the numerous challenges he has overcome so far, Shidou Itsuka's mission with Ratatoskr is far from over. In a departure from his daily routine, Shidou encounters a starving woman lying on the street and ends up helping her. After the two arrive at her apartment, the woman introduces herself as Nia Honjou—a popular manga artist working under a pen name. However, cutting straight to the chase, Nia reveals that she is also a Spirit and is aware of Shidou's secret operation."", '', 'Interested in seeing his charisma firsthand, Nia challenges Shidou to win her over on a date. As he strives for an opportunity to seal her powers, Shidou learns more about Nia and her his...']","['#468 Highest Rated All Time', '#40 Highest Rated 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['76%'],['76%'],['44874'],['1322'],['GEEKTOYS'],"['KADOKAWA', 'Goodshow Animation', 'Nippon Columbia', 'Kadokawa Media House', 'Docomo Anime Store', 'AT-X', 'Hot Game Studio']",['Light Novel'],['#date_a_live'],"['Comedy', 'Ecchi', 'Mecha', 'Romance', 'Sci-Fi']",['Date A Live IV'],['Date A Live IV'],['デート・ア・ライブIV'],"['Date A Live Season 4', 'พิชิตรัก พิทักษ์โลก ภาค 4', 'Рандеву с Жизнью 4']","['Female Harem', '97%', 'Super Power', '91%', 'Male Protagonist', '89%', 'Primarily Female Cast', '89%', 'CGI', '69%', 'Love Triangle', '62%', 'Cute Girls Doing Cute Things', '61%', 'Heterosexual', '50%', 'Kuudere', '48%', 'Ghost', '40%', 'Tragedy', '40%', 'School', '24%', 'Witch', '20%', 'Show 5 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'VRV', '', '', '', '', '', '']","['Source', 'Date A Live', 'Light Novel · Finished', 'Prequel', 'Date A Live III', 'TV · Finished', 'Sequel', 'Date A Live V', 'TV · Not Yet Released']","['Shidou Itsuka', 'Main', 'Nobunaga Shimazaki', 'Japanese', 'Tooka Yatogami', 'Main', 'Marina Inoue', 'Japanese', 'Nia Honjou', 'Main', 'Hitomi Nabatame', 'Japanese', 'Mukuro Hoshimiya', 'Main', 'Akari Kageyama', 'Japanese', 'Kurumi Tokisaki', 'Main', 'Asami Sanada', 'Japanese', 'Kotori Itsuka', 'Main', 'Ayana Taketatsu', 'Japanese']","['Koushi Tachibana', 'Original Story', 'Tsunako', 'Original Character Design', 'Jun Nakagawa', 'Director', 'Fumihiko Shimo', 'Series Composition']","['Planning', '22371 Users', 'Completed', '15464 Users', 'Current', '5206 Users', 'Paused', '1015 Users']",[],,
Aoashi,"['Aoashi', 'Ashito Aoi is a young, aspiring soccer player from a backwater town in Japan. His hopes of getting into a high school with a good soccer club are dashed when he causes an incident during a critical match for his team, which results in their loss and elimination from the tournament. Nevertheless, he catches the eye of someone important who happened to be visiting from Tokyo. How will things turn out for Ashito?', '', '(Source: Shogakukan Asia)']","['#132 Highest Rated All Time', '#13 Highest Rated 2022']",['TV'],['24'],['25 mins'],['Finished'],['Spring 2022'],['82%'],['82%'],['43164'],['1943'],['Production I.G'],"['Shogakukan-Shueisha Productions', 'NHK Enterprises', 'BANDAI SPIRITS', 'Marvelous']",['Manga'],['#アオアシ'],['Sports'],['Aoashi'],['Aoashi'],['アオアシ'],"['AOASHI แข็งเด็กหัวใจนักสู้', 'أواشي']","['Football', '99%', 'Male Protagonist', '90%', 'Primarily Teen Cast', '88%', 'Primarily Male Cast', '84%', 'Seinen', '79%', 'Heterosexual', '67%', 'School', '57%', 'Coming of Age', '56%', 'Bullying', '40%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'Crunchyroll', 'Disney Plus (JP)', 'VRV', '', '']","['Source', 'Aoashi', 'Manga · Releasing']","['Ashito Aoi', 'Main', 'Kouki Oosuzu', 'Japanese', 'Tatsuya Fukuda', 'Supporting', 'Chikahiro Kobayashi', 'Japanese', 'Haruhisa Kuribayashi', 'Supporting', 'Yuuichirou Umehara', 'Japanese', 'Hana Ichijou', 'Supporting', 'Maki Kawase', 'Japanese', 'Nagisa Akutsu', 'Supporting', 'Shunsuke Takeuchi', 'Japanese', 'Yuuma Motoki', 'Supporting', 'Junya Enoki', 'Japanese']","['Yuugo Kobayashi', 'Original Creator', 'Akira Satou', 'Director', 'Masahiro Yokotani', 'Series Composition', 'Toshie Kawamura', 'Character Design']","['Completed', '19233 Users', 'Planning', '12609 Users', 'Current', '8505 Users', 'Dropped', '1410 Users']",[],,
Koi wa Sekai Seifuku no Ato de,"['Koi wa Sekai Seifuku no Ato de', 'It’s love at first sight for Fudo and Desumi, except it was during a battle of life and death. Fudo, leader of the hero squad Gelato 5, and Desumi, the Death Queen of the evil society Gekko, have found themselves caught in a forbidden love—and it’s their first relationship! Moving in secrecy, they live holding hands with one weapon in the other, finding out what’s truly fair in love and war.', '', '(Source: Crunchyroll)']","['#51 Highest Rated 2022', '#47 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['74%'],['74%'],['42092'],['951'],['project No.9'],"['Happinet Phantom Studios', 'Asmik Ace', 'BS Asahi', 'AT-X', 'Pony Canyon', 'Dream Shift', 'Bit Grooove Promotion', 'TV Aichi', 'Toei Video', 'arma bianca', 'Klock Worx', 'YOMIURI BRAND STUDIO', 'Bergamo', 'APDREAM']",['Manga'],['#恋せか'],"['Action', 'Comedy', 'Ecchi', 'Romance', 'Supernatural']",['Koi wa Sekai Seifuku no Ato de'],['Love After World Domination'],['恋は世界征服のあとで'],"['รักเรานั้นไว้หลังครองโลก', 'รักหลังครองโลก', 'Koiseka']","['Tokusatsu', '92%', 'Heterosexual', '91%', 'Parody', '90%', 'Female Protagonist', '87%', 'Superhero', '83%', 'Villainess', '82%', 'Male Protagonist', '80%', 'Gyaru', '79%', 'Primarily Teen Cast', '63%', 'Urban Fantasy', '60%', 'Henshin', '60%', 'School', '47%', 'Shounen', '40%', 'Show 1 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', '', '']","['Source', 'Koi wa Sekai Seifuku no Ato de', 'Manga · Finished']","['Fudou Aikawa', 'Main', 'Yuusuke Kobayashi', 'Japanese', 'Desumi Magahara', 'Main', 'Ikumi Hasegawa', 'Japanese', 'Haru Arisugawa', 'Supporting', 'Rina Hidaka', 'Japanese', 'Misaki Jinguuji', 'Supporting', 'Nene Hieda', 'Japanese', 'Hayato Oujino', 'Supporting', 'Kazuyuki Okitsu', 'Japanese', 'Daigo Todoroki', 'Supporting', 'Junji Majima', 'Japanese']","['Hiroshi Noda', 'Original Story', 'Takahiro Wakamatsu', 'Original Character Design', 'Kazuya Iwata', 'Director', 'Satoshi Sugisawa', 'Series Composition']","['Completed', '18123 Users', 'Planning', '13384 Users', 'Current', '6659 Users', 'Dropped', '2410 Users']",[],,
Shokei Shoujo no Virgin Road,"['Shokei Shoujo no Virgin Road', 'When interdimensional travelers from an otherworldly land known as “Japan” appear, they often bring death and destruction. It’s up to Executioners like Menou to track and exterminate the Lost Ones before they wreak havoc. When Menou encounters a beguiling Lost One named Akari, it’s bloody business as usual… until Menou discovers Akari can cheat death, that is. Even so, Menou has a job to do, and she is committed to her executioner’s mission come hell or high water — provided her newly stirring feelings don’t get in the way.', '', '(Source: Sentai Filmworks)', '', 'Note: The first two episodes received an advance release on Abema on March 20, 2022. The regular TV broadcast started on April 2, 2022.']","['#90 Highest Rated 2022', '#56 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['67%'],['68%'],['34973'],['499'],['J.C. Staff'],"['Warner Bros. Japan', 'SB Creative', 'Hakuhodo DY Music & Pictures', 'EGG FIRM', 'Sentai Filmworks']",['Light Novel'],['#shokei_anime #処刑少女'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Shokei Shoujo no Virgin Road'],['The Executioner and Her Way of Life'],['処刑少女の生きる道（バージンロード）'],['เวอร์จินโร้ด เพชฌฆาตสาวบนเส้นทางพิสุทธิ์'],"['Magic', '90%', 'Primarily Female Cast', '86%', 'Female Protagonist', '86%', 'Isekai', '84%', 'Assassins', '79%', 'Religion', '70%', 'Gore', '68%', 'Meta', '62%', 'Primarily Teen Cast', '60%', 'Reincarnation', '55%', 'Travel', '50%', 'Cute Girls Doing Cute Things', '46%', 'Show 9 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'HIDIVE', 'iQ', '', '', '', '']","['Source', 'Shokei Shoujo no Virgin Road: Soshite, Kanojo wa Yomigaeru', 'Light Novel · Releasing', 'Alternative', 'Shokei Shoujo no Virgin Road', 'Manga · Releasing']","['Menou', 'Main', 'Iori Saeki', 'Japanese', 'Momo', 'Main', 'Hisako Kanemoto', 'Japanese', 'Akari Tokitou', 'Main', 'Moe Kahara', 'Japanese', 'Ashuna Grizarica', 'Supporting', 'Mao Ichimichi', 'Japanese', 'Mitsuki', 'Supporting', 'Yuuma Uchida', 'Japanese', 'Flare', 'Supporting', 'Yuuko Kaida', 'Japanese']","['Mato Satou', 'Original Story', 'Nilitsu', 'Original Character Design', 'Yoshiki Kawasaki', 'Director', 'Shougo Yasukawa', 'Series Composition']","['Planning', '12331 Users', 'Completed', '11722 Users', 'Current', '5976 Users', 'Dropped', '3404 Users']",[],,
Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart),"['Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart)', 'The second season of Rikei ga Koi ni Ochita no de Shoumei shitemita.']","['#64 Highest Rated 2022', '#65 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['71%'],['71%'],['29370'],['432'],['Zero-G'],"['bilibili', 'Mirai Koujou', 'AMG Entertainment', 'Global Solutions', 'Kanetsuu Investment', 'Starry Cube', 'Sony Music Entertainment', 'Hokkaidou Bunka Housou', 'BS Fuji', 'Office Nobu', 'Yomiuri TV Enterprise', 'Flex Comics', 'SUPA LOVE', 'Touyou Recording', 'BloomZ', 'Holoimua', 'Annel']",['Manga'],['#リケ恋'],"['Comedy', 'Romance']",['Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart)'],"['Science Fell in Love, So I Tried to Prove It r=1-sinθ']",['理系が恋に落ちたので証明してみた。r=1-sinθ（ハート）'],"['พิสูจน์นิยามความรักด้วยหลักวิชาสายวิทย์ ภาค 2', 'Rikei ga Koi ni Ochita no de Shoumei shitemita. 2nd Season', 'พิสูจน์นิยามความรักด้วยหลักวิชาสายวิทย์ r=1-sinθ']","['Educational', '91%', 'Primarily Adult Cast', '88%', 'College', '85%', 'Heterosexual', '68%', 'Teacher', '60%', 'Meta', '53%', 'Idol', '26%', 'Seinen', '25%', 'Drawing', '16%', 'Show 3 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV']","['Source', 'Rikei ga Koi ni Ochita no de Shoumei shitemita.', 'Manga · Releasing', 'Prequel', 'Rikei ga Koi ni Ochita no de Shoumei shitemita.', 'ONA · Finished']","['Shinya Yukimura', 'Main', 'Yuuma Uchida', 'Japanese', 'Ayame Himuro', 'Main', 'Sora Amamiya', 'Japanese', 'Kotonoha Kanade', 'Main', 'Natsuko Hara', 'Japanese', 'Kosuke Inukai', 'Main', 'Jun Fukushima', 'Japanese', 'Ena Ibarada', 'Main', 'Nichika Oomori', 'Japanese', 'Kyouju Ikeda', 'Supporting', 'Ryoutarou Okiayu', 'Japanese']","['Alfred Yamamoto', 'Original Creator', 'Tooru Kitahata', 'Director', 'Rintarou Ikeda', 'Series Composition', 'Yuusuke Isouchi', 'Character Design']","['Planning', '13872 Users', 'Completed', '9713 Users', 'Current', '3656 Users', 'Dropped', '1099 Users']",[],,
Mahoutsukai Reimeiki,"['Mahoutsukai Reimeiki', 'I can’t remember. Who am I? What am I? Seville is a student at a magic academy who has no memories of anything from before he joined the school. Not understanding why he’s there, the time he spends at the academy feels hollow and empty. And since he doesn\'t know how to work hard, his grades are always the lowest in his year. Then, one day, the school headmaster, Albus, orders Seville to participate in a dangerous special training. ""I want you to spread the use of magic in an area where they hold witch hunts."" It has only been a few years since the war between the church and the witches came to an end—the world has not yet fully accepted witches and their magic. This is the dawn of the age of the witch. This is the story ...']","['#66 Most Popular 2022', '#19 Most Popular Spring 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['62%'],['62%'],['28590'],['472'],['Tezuka Productions'],"['TBS', 'Kodansha', 'DMM pictures', 'Nippon BS Broadcasting', 'Crunchyroll', 'NBCUniversal Entertainment Japan', 'Nichion', 'Nihon Narration Engi Kenkyuujo']",['Light Novel'],['#魔法使い黎明期'],"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy']",['Mahoutsukai Reimeiki'],['The Dawn of the Witch'],['魔法使い黎明期'],"['魔法使黎明期', 'จอมเวทแห่งรุ่งอรุณ', 'Bình Minh Của Phù Thủy', 'Purwa Fajar Si Penyihir', 'Рассвет ведьмы']","['Magic', '73%', 'Male Protagonist', '70%', 'Witch', '66%', 'Female Protagonist', '60%', 'Amnesia', '52%', 'Gore', '40%', 'Animals', '40%', 'Incest', '25%', 'Cult', '20%', 'Kemonomimi', '20%', 'Nekomimi', '20%']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube', '', '']","['Source', 'Mahoutsukai Reimeiki', 'Light Novel · Finished', 'Parent', 'Zero kara Hajimeru Mahou no Sho', 'TV · Finished', 'Alternative', 'Mahoutsukai Reimeiki', 'Manga · Releasing', 'Side Story', 'Mahoutsukai Reimeiki Mini Anime', 'ONA · Finished']","['Roux Cristasse', 'Main', 'Miho Okasaki', 'Japanese', 'Holt', 'Main', 'Sayumi Suzushiro', 'Japanese', 'Cervil', 'Main', 'Shuichirou Umeda', 'Japanese', 'Coudeau', 'Main', 'Taku Yashiro', 'Japanese', 'Zero', 'Supporting', 'Yumiri Hanamori', 'Japanese', 'Youhei', 'Supporting', 'Masaaki Yano', 'Japanese']","['Kakeru Kobashiri', 'Original Story', 'Takashi Iwasaki', 'Original Character Design', 'Satoshi Kuwabara', 'Director', 'Satoshi Kuwabara', 'Series Composition']","['Completed', '9753 Users', 'Planning', '9698 Users', 'Current', '5342 Users', 'Dropped', '2810 Users']",[],,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,"['Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season', 'Anime adaptation of Part 2 (Volume 3 & 4) of Honzuki no Gekokujou.', '', 'An immense display of mana in front of the Knight’s Order has earned Myne the attention of nobles. The result? Yet more people appear hoping to exploit the young apprentice shrine maiden’s value. And so the High Priest decides to shelter Myne in the temple to safeguard her from the impending danger he foresees. But Myne’s main concern is still books, and she works to advance the printing process so that their price falls and more people can buy them. Her long winter in the temple away from her family begins, but everything changes as the harsh winter passes and the spring nears, offering a glimpse into what the future holds for this biblio...']","['#258 Highest Rated All Time', '#26 Highest Rated 2022']",['TV'],['10'],['24 mins'],['Finished'],['Spring 2022'],['79%'],['79%'],['25822'],['643'],['Ajiado'],"['TO Books', 'Happinet Phantom Studios', 'MediaNet Pictures', 'flying DOG', 'Yomiuri TV Enterprise', 'BS Fuji', 'WOWOW', 'Klock Worx']",['Light Novel'],['#本好きの下剋上'],"['Drama', 'Fantasy', 'Slice of Life']",['Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season'],['Ascendance of a Bookworm Season 3'],['本好きの下剋上 司書になるためには手段を選んでいられません 第3期'],"['爱书的下克上：为了成为图书管理员不择手段！3', 'หนอนหนังสือยึดอำนาจ ภาค 3', 'การปฏิวัติของสาวน้อยหนอนหนังสือ ภาค 3', 'Sự Nổi Dậy Của Cô Gái Mọt Sách: Mình Sẽ Làm Mọi Cách Để Trở Thành Thủ Thư 3', 'Власть книжного червя']","['Isekai', '95%', 'Female Protagonist', '93%', 'Work', '85%', 'Economics', '83%', 'Reincarnation', '76%', 'Magic', '74%', 'Religion', '65%', 'Time Skip', '45%', 'Gods', '42%', 'Orphan', '20%', 'Politics', '20%']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube', '', '', '', '']","['Source', 'Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Shinden no Miko Minarai', 'Light Novel · Finished', 'Prequel', 'Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season', 'TV · Finished', 'Alternative', 'Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Hon no Tamenara Miko ni Naru!', 'Manga · Releasing']","['Myne', 'Main', 'Yuka Iguchi', 'Japanese', 'Ferdinand', 'Main', 'Shou Hayami', 'Japanese', 'Lutz', 'Supporting', 'Mutsumi Tamura', 'Japanese', 'Benno', 'Supporting', 'Takehito Koyasu', 'Japanese', 'Tuuli', 'Supporting', 'Megumi Nakajima', 'Japanese', 'Gunther', 'Supporting', 'Tsuyoshi Koyama', 'Japanese']","['Miya Kazuki', 'Original Story', 'You Shiina', 'Original Character Design', 'Mitsuru Hongou', 'Director', 'Mariko Kunisawa', 'Series Composition']","['Completed', '13654 Users', 'Planning', '8634 Users', 'Current', '2695 Users', 'Paused', '467 Users']",[],,
Deaimon,"['Deaimon', ""Nagomu Irino returns to his Kyoto home for the first time in ten years when his father is hospitalized. Nagomu is eager to take over Ryokushou, the family's Japanese sweet shop, but he's instead asked to be a father figure to Itsuka Yukihira, the girl everyone calls the successor.""]","['#46 Highest Rated 2022', '#81 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Spring 2022'],['75%'],['75%'],['19780'],['383'],['Encourage Films'],"['KADOKAWA', 'flying DOG', 'AT-X', 'Klock Worx', 'Kadokawa Media House', 'KBS', 'diomedéa']",['Manga'],['#であいもん #deaimon'],['Slice of Life'],['Deaimon'],['Deaimon: Recipe for Happiness'],['であいもん'],['Kyoto & Wagashi & Family'],"['Iyashikei', '90%', 'Food', '85%', 'Family Life', '85%', 'Found Family', '79%', 'Seinen', '76%', 'Work', '74%', 'Episodic', '67%', 'Male Protagonist', '67%', 'Primarily Adult Cast', '46%', 'Tsundere', '45%', 'Love Triangle', '44%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube']","['Source', 'Deaimon', 'Manga · Releasing']","['Nagomu Irino', 'Main', 'Nobunaga Shimazaki', 'Japanese', 'Itsuka Yukihira', 'Main', 'Kozue Yuuki', 'Japanese', 'Fuki Irino', 'Supporting', 'Sayaka Oohara', 'Japanese', 'Heigo Irino', 'Supporting', 'Rikiya Koyama', 'Japanese', 'Ichimitsu Irino', 'Supporting', 'Izou Oikawa', 'Japanese', 'Iyoko Irino', 'Supporting', 'Miho Yoshida', 'Japanese']","['Rin Asano', 'Original Creator', 'Fumitoshi Oizaki', 'Director', 'Reiko Yoshida', 'Series Composition', 'Sakae Shibuya', 'Character Design']","['Completed', '9041 Users', 'Planning', '6421 Users', 'Current', '2637 Users', 'Dropped', '1028 Users']",[],,
Dance Dance Danseur,"['Dance Dance Danseur', ""Danseur noble--a ballet dancer qualified to dance the role of the prince. Second-year junior high school student Murao Junpei was fascinated by ballet as a boy, but gave up on dancing after his father's death, as he had to become a man. However, one day, a beautiful transfer student named Godai Miyako appears before him. Miyako takes notice in Junpei's love of ballet and invites him to dance with her. Along with Miyako's cousin Mori Ruou, he begins his career as a full-fledged ballet dancer, with the aim of becoming the world's best dancer--the Danseur noble! Only those who have sacrificed everything are permitted to stand in the beautiful and harsh world of classical ballet. What will be the fate of a total beginner lik...""]","['#412 Highest Rated All Time', '#37 Highest Rated 2022']",['TV'],['11'],['24 mins'],['Finished'],['Spring 2022'],['77%'],['77%'],['19233'],['437'],['MAPPA'],"['DMM pictures', 'Shogakukan', 'Mainichi Broadcasting System']",['Manga'],['#ダンスール'],"['Drama', 'Romance', 'Slice of Life', 'Sports']",['Dance Dance Danseur'],['Dance Dance Danseur'],['ダンス・ダンス・ダンスール'],,"['Dancing', '95%', 'Male Protagonist', '88%', 'Seinen', '60%', 'Heterosexual', '60%', 'Bullying', '55%', 'Acting', '55%', 'School', '50%', 'School Club', '50%', 'Martial Arts', '38%', 'Judo', '33%', 'CGI', '20%', 'POV', '20%', 'Show 3 spoiler tags']","['Official Site JP', 'Twitter JP', 'Crunchyroll', 'VRV', '', '']","['Source', 'Dance Dance Danseur', 'Manga · Releasing']","['Junpei Murao', 'Main', 'Daiki Yamashita', 'Japanese', 'Miyako Godai', 'Main', 'Kaede Hondo', 'Japanese', 'Luou Mori', 'Main', 'Kouki Uchiyama', 'Japanese', 'Yamato Takura', 'Supporting', 'Koutarou Nishiyama', 'Japanese', 'Chizuru Godai', 'Supporting', 'Mayumi Asano', 'Japanese', 'Kotobuki Himenokouji', 'Supporting', 'Jun Inoue', 'Japanese']","['George Asakura', 'Original Creator', 'Munehisa Sakai', 'Director', 'Hisatoshi Shimizu', 'Assistant Director', 'Yoshimi Narita', 'Series Composition']","['Completed', '7916 Users', 'Planning', '7811 Users', 'Current', '2070 Users', 'Dropped', '854 Users']",[],,
